ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Attribute Name (pa_marka)","Attribute Value (pa_marka)","Attribute In Variations (pa_marka)","Attribute Is Visible (pa_marka)","Attribute Is Taxonomy (pa_marka)","Shipping Class",_wpm_gtin_code,_ywbc_barcode_value,"Product Type","Ürün görünürlüğü","Ürün kategorileri","Ürün etiketleri","Image URL"
2973,"Yhden Tilan Luomu Maito",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/yhden-tilan-luomu-maito/,0,eeafb716f93f,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300020465,6413300020465,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Yhden-Tilan-Luomu-Maito.jpg
2974,"Maitoa Suomesta %1",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/maitoa-suomesta-1/,0,89bfe1696d3f,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300102017,6413300102017,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Maitoa-Suomesta-1.jpg
2975,"Maitoa Suomesta Kevyt",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/maitoa-suomesta-kevyt/,0,eab9b167c334,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300100112,6413300100112,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Maitoa-Suomesta-Kevyt.jpg
2976,"Lähi-Maito Kevyt",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/lahi-maito-kevyt/,0,b94b41e880e1,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300017526,6413300017526,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Lähi-Maito-Kevyt.jpg
2977,"Maitojuoma Suomesta Laktoositon",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/maitojuoma-suomesta-laktoositon/,0,3074f2518b31,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300011500,6413300011500,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Maitojuoma-Suomesta-Laktoositon.jpg
2978,"Maitojuoma Suomesta Kevyt Laktoositon",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/maitojuoma-suomesta-kevyt-laktoositon/,0,7af8658a05bb,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300011531,6413300011531,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Maitojuoma-Suomesta-Kevyt-Laktoositon.jpg
2979,"Laktoositon Täysmaitojuoma",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/laktoositon-taysmaitojuoma/,0,5b1df7db2d37,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300018431,6413300018431,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Laktoositon-Täysmaitojuoma.jpg
2980,"Rasvatonta maitoa Suomesta",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/rasvatonta-maitoa-suomesta/,0,2197e770b9b5,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300011524,6413300011524,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Rasvatonta-maitoa-Suomesta.jpg
2981,"Rasvatonta Lähi-Maito",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/rasvatonta-lahi-maito/,0,f41ef23b2059,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300017519,6413300017519,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Rasvatonta-Lähi-Maito.jpg
2982,"Täysmaito Suomi",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/taysmaito-suomi/,0,1df79c1c1291,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300101010,6413300101010,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Täysmaito-Suomi.jpg
2983,"Vähälaktoosinen Täysmaito",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/vahalaktoosinen-taysmaito/,0,bb5e12f554fe,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300010695,6413300010695,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Vähälaktoosinen-Täysmaito.jpg
2984,Luomu,---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/luomu/,0,e7761255473c,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300015041,6413300015041,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Luomu.jpg
2985,"Luomu täysmaitoa",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/luomu-taysmaitoa/,0,488fb4953f5e,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300015249,6413300015249,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/Luomu-täysmaitoa.jpg
2986,"LEMPI SIPOOLAINEN RAHKAJOGURTTI LAKTOOSITON",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/lempi-sipoolainen-rahkajogurtti-laktoositon/,0,573997e07dd2,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300024296,6413300024296,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/LEMPI-SIPOOLAINEN-RAHKAJOGURTTI-LAKTOOSITON.jpg
2987,"LEMPI ISLANTILAINEN JOGURTTI LAKTOOSITON",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/lempi-islantilainen-jogurtti-laktoositon/,0,10aa385bf178,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300020052,6413300020052,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/LEMPI-ISLANTILAINEN-JOGURTTI-LAKTOOSITON.jpg
2988,"LEMPI TURKKILAINEN JOGURTTI LAKTOOSITON",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/lempi-turkkilainen-jogurtti-laktoositon/,0,1fcdebc9ba30,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300019117,6413300019117,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/LEMPI-TURKKILAINEN-JOGURTTI-LAKTOOSITON.jpg
2989,"LEMPI VANILJA JOGURTTI",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/lempi-vanilja-jogurtti/,0,42c1d65941ec,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300001945,6413300001945,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/LEMPI-VANILJA-JOGURTTI.jpg
2990,"INGMAN RASVATON LUONNON JOGURTTI VÄHÄLAKTOOSINEN",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/ingman-rasvaton-luonnon-jogurtti-vahalaktoosinen/,0,832e26c80e90,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300012811,6413300012811,simple,visible,"Süt ve Yoğurt",,https://marketim.fi/wp-content/uploads/2019/09/INGMAN-RASVATON-LUONNON-JOGURTTI-VÄHÄLAKTOOSINEN.jpg
2991,"Laktoositon vähemmän suolaa meijerivoi",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/laktoositon-vahemman-suolaa-meijerivoi/,0,350a178134b9,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300016246,6413300016246,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Laktoositon-vähemmän-suolaa-meijerivoi.jpg
2992,"Normaalisuolainen meijerivoi",---,---,"2019-09-28 16:03:32",product,https://marketim.fi/product/normaalisuolainen-meijerivoi/,0,c8e9e23d25ee,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,6413300308600,6413300308600,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Normaalisuolainen-meijerivoi.jpg
2993,"Voimakassuolainen meijerivoi",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/voimakassuolainen-meijerivoi/,0,2d7450f53d18,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,,,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Voimakassuolainen-meijerivoi.jpg
2994,"Lempi Kirkastettu voi, laktoositon",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/lempi-kirkastettu-voi-laktoositon/,0,2db9ca64ca23,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310860587003,7310860587003,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Lempi-Kirkastettu-voi-laktoositon.jpg
2995,"Ingmariini Laktoositon",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/ingmariini-laktoositon/,0,e487d25e5fce,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310860561201,7310860561201,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Ingmariini-Laktoositon.jpg
2996,"Ingmariini Merisuola",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/ingmariini-merisuola/,0,cbc35e6c20bf,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310860560822,7310860560822,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Ingmariini-Merisuola.jpg
2997,"Ingmariini Normaalisuolainen",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/ingmariini-normaalisuolainen/,0,7d361914a4c5,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310860560792,7310860560792,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Ingmariini-Normaalisuolainen.jpg
2998,"Ingmariini Vähärasvaisempi",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/ingmariini-vaharasvaisempi/,0,b3f2097305ec,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,7310860560815,7310860560815,simple,visible,Yağlar,,https://marketim.fi/wp-content/uploads/2019/09/Ingmariini-Vähärasvaisempi.jpg
2999,"EDAM JUUSTO",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/edam-juusto/,0,6a63ff521844,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,5760466739627,5760466739627,simple,visible,Peynir,,
3000,"PERHE JUUSTO TEEPPINEN EMMENTAL",---,---,"2019-09-28 16:03:38",product,https://marketim.fi/product/perhe-juusto-teeppinen-emmental/,0,380d0494e079,1,1,,instock,,,0,Marka,Arla,no,yes,yes,,4009301002344,4009301002344,simple,visible,Peynir,,https://marketim.fi/wp-content/uploads/2019/09/PERHE-JUUSTO-TEEPPINEN-EMMENTAL.jpg
